customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5773-VHVEG,Male,0,Yes,Yes,49,No,No,DSL,No internet service,No internet service,No,No,Yes,No internet service,Two year,Yes,Electronic check,103.23,5058.27,No
4190-HZTQW,Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),93.11,6703.92,No
3735-VHVEG,Female,0,No,No,64,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No,One year,No,Bank transfer (automatic),107.7,6892.8,Yes
7007-VHVEG,Male,0,Yes,Yes,54,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,113.83,6146.82,No
9511-VHVEG,Male,0,No,No,9,No,Yes,DSL,No,No,No internet service,No,Yes,Yes,One year,Yes,Bank transfer (automatic),72.38,651.42,No
5558-MOTEO,Female,0,Yes,No,20,No,Yes,Fiber optic,No,Yes,No,No,No,No internet service,Two year,No,Electronic check,105.24,2104.8,No
6883-VHVEG,Female,0,Yes,Yes,23,No,No,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),23.65,543.95,No
2795-GNVDE,Male,0,Yes,Yes,53,Yes,No,DSL,Yes,Yes,No,No internet service,No internet service,No,Two year,Yes,Electronic check,98.17,5203.01,No
4833-HZTQW,Female,0,No,No,30,No,No,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,93.65,2809.5,No
3477-QPYBK,Female,0,Yes,Yes,71,No,No,DSL,No,No internet service,No,No,Yes,No,Two year,Yes,Mailed check,87.07,6181.97,No
6270-HZTQW,Male,0,Yes,No,22,Yes,No phone service,No,No,Yes,No,No internet service,No,No internet service,One year,No,Mailed check,117.71,2589.62,No
3368-MOTEO,Female,0,Yes,Yes,61,No,Yes,No,No internet service,No internet service,No,Yes,Yes,No,One year,No,Mailed check,76.64,4675.04,No
9427-QPYBK,Male,1,Yes,Yes,52,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,45.82,2382.64,No
4570-GNVDE,Female,0,Yes,No,35,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No,Month-to-month,Yes,Mailed check,36.27,1269.45,No
5067-HZTQW,Male,0,No,Yes,26,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,109.53,2847.78,Yes
5408-HZTQW,Male,0,No,Yes,28,Yes,Yes,No,Yes,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,95.81,2682.68,No
6179-HZTQW,Female,0,No,No,18,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),118.95,2141.1,No
7879-MOTEO,Female,1,Yes,No,36,No,Yes,DSL,No internet service,No internet service,Yes,No,No,Yes,Two year,No,Credit card (automatic),98.54,3547.44,No
3900-QPYBK,Female,0,No,No,58,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,Two year,Yes,Bank transfer (automatic),55.93,3243.94,No
7300-QPYBK,Female,0,No,No,23,No,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),110.67,2545.41,Yes
4121-VHVEG,Female,0,No,Yes,8,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.81,230.48,Yes
4441-HZTQW,Male,0,Yes,Yes,9,Yes,Yes,DSL,Yes,No internet service,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),70.3,632.7,No
2046-QPYBK,Female,1,No,Yes,53,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),76.26,4041.78,Yes
4434-QPYBK,Male,0,No,Yes,4,No,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Two year,Yes,Electronic check,42.64,170.56,Yes
4019-VHVEG,Female,0,No,Yes,41,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,No,One year,No,Credit card (automatic),32.64,1338.24,Yes
7586-QPYBK,Female,0,No,No,57,No,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,54.61,3112.77,No
5014-HZTQW,Female,0,No,Yes,66,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,Yes,Two year,No,Credit card (automatic),55.43,3658.38,No
5569-VHVEG,Male,0,No,No,51,Yes,No,No,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),70.92,3616.92,No
5173-GNVDE,Female,0,No,No,38,Yes,Yes,No,No,Yes,No,No,No,No internet service,One year,Yes,Mailed check,112.0,4256.0,No
7665-GNVDE,Female,1,No,No,3,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),93.63,280.89,No
7684-GNVDE,Female,0,Yes,Yes,42,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,Two year,No,Mailed check,45.74,1921.08,No
2427-VHVEG,Male,0,No,Yes,16,Yes,Yes,No,No,No,No,No,No internet service,No,Two year,Yes,Electronic check,61.19,979.04,No
7422-GNVDE,Female,1,Yes,Yes,48,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),80.63,3870.24,No
9261-HZTQW,Male,0,No,No,33,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),61.68,2035.44,Yes
3461-GNVDE,Female,1,No,Yes,20,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,Yes,No internet service,Two year,No,Credit card (automatic),79.21,1584.2,No
8505-MOTEO,Male,0,Yes,No,49,Yes,No phone service,No,Yes,No,Yes,Yes,Yes,No internet service,One year,Yes,Electronic check,42.32,2073.68,Yes
7181-GNVDE,Female,0,Yes,No,59,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Credit card (automatic),96.94,5719.46,No
5915-HZTQW,Female,0,Yes,Yes,65,Yes,No,No,No internet service,Yes,No,No,No internet service,No,One year,Yes,Mailed check,61.73,4012.45,Yes
8211-MOTEO,Male,0,No,No,54,No,No,No,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),44.1,2381.4,No
4726-HZTQW,Male,0,No,No,20,Yes,No phone service,DSL,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,85.66,1713.2,No
7894-MOTEO,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,One year,No,Bank transfer (automatic),43.93,131.79,Yes
6368-MOTEO,Female,0,Yes,No,8,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,31.15,249.2,Yes
5326-GNVDE,Female,0,No,No,72,No,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,No,Electronic check,99.88,7191.36,No
6059-QPYBK,Male,0,Yes,No,32,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No,Two year,No,Mailed check,40.58,1298.56,No
1878-QPYBK,Female,0,Yes,Yes,42,No,No,No,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Mailed check,111.43,4680.06,No
6785-HZTQW,Female,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No internet service,Two year,No,Electronic check,81.2,1136.8,No
3226-QPYBK,Male,0,Yes,Yes,72,No,Yes,No,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,36.66,2639.52,No
5797-QPYBK,Male,0,No,No,32,No,Yes,No,Yes,No,No internet service,No,No internet service,Yes,One year,No,Mailed check,74.61,2387.52,No
7425-VHVEG,Male,0,Yes,No,9,Yes,Yes,No,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,24.46,220.14,No
5195-GNVDE,Female,0,Yes,Yes,39,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Two year,No,Bank transfer (automatic),82.82,3229.98,No
8614-HZTQW,Female,0,Yes,No,23,No,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,53.35,1227.05,No
1586-QPYBK,Male,0,No,Yes,27,Yes,No,No,No,Yes,Yes,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),95.25,2571.75,Yes
9527-VHVEG,Female,0,Yes,Yes,36,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,67.39,2426.04,Yes
6916-QPYBK,Male,0,Yes,Yes,43,No,No,DSL,Yes,No internet service,No internet service,No,No,Yes,Two year,No,Credit card (automatic),92.68,3985.24,No
8938-HZTQW,Male,0,Yes,No,46,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),109.95,5057.7,No
4881-QPYBK,Male,0,No,Yes,28,Yes,No phone service,DSL,Yes,No,No,No internet service,Yes,No,Two year,No,Electronic check,44.69,1251.32,No
4353-MOTEO,Female,0,No,Yes,10,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,49.42,494.2,No
5192-VHVEG,Male,0,Yes,No,34,No,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),116.81,3971.54,No
5801-MOTEO,Male,0,No,No,42,Yes,No,DSL,Yes,Yes,Yes,No internet service,No,Yes,Two year,No,Mailed check,80.24,3370.08,No
5668-QPYBK,Male,0,No,No,33,Yes,No,No,Yes,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,75.93,2505.69,No
1897-MOTEO,Female,0,Yes,No,1,No,No,DSL,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,45.83,45.83,No
1734-MOTEO,Female,1,No,Yes,14,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),64.59,904.26,No
1178-VHVEG,Female,0,Yes,Yes,48,No,No phone service,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),88.46,4246.08,No
3165-MOTEO,Male,0,No,Yes,5,Yes,No phone service,No,No,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),22.16,110.8,Yes
8943-QPYBK,Female,0,Yes,Yes,8,No,Yes,No,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,58.55,468.4,No
6660-VHVEG,Female,0,Yes,Yes,0,No,Yes,No,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,86.12,86.12,No
1995-MOTEO,Male,0,No,Yes,40,No,No,No,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),50.48,2019.2,No
8171-QPYBK,Female,0,No,Yes,2,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,Two year,No,Bank transfer (automatic),34.14,68.28,No
5351-MOTEO,Male,0,Yes,Yes,63,No,No phone service,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),108.62,6843.06,No
3092-GNVDE,Male,0,No,Yes,68,Yes,No,No,No,Yes,No,No,No internet service,No,One year,Yes,Credit card (automatic),69.17,4703.56,No
4155-VHVEG,Female,0,No,Yes,20,No,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,No,One year,No,Electronic check,49.58,991.6,No
8366-HZTQW,Female,1,Yes,No,61,Yes,No phone service,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,96.46,5884.06,Yes
6914-MOTEO,Male,0,Yes,No,54,No,No phone service,No,No internet service,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),102.77,5549.58,No
5618-MOTEO,Female,1,No,No,26,Yes,No,No,No,Yes,Yes,No internet service,Yes,No,One year,No,Credit card (automatic),78.55,2042.3,No
3119-MOTEO,Male,0,Yes,No,72,No,Yes,No,Yes,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,96.73,6964.56,No
9877-QPYBK,Male,0,No,No,28,No,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),79.92,2237.76,No
3572-HZTQW,Male,0,No,Yes,41,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.24,2510.84,Yes
8216-VHVEG,Male,0,No,Yes,70,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),111.17,7781.9,Yes
7827-GNVDE,Female,0,No,Yes,42,Yes,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,70.94,2979.48,No
9879-VHVEG,Female,0,No,Yes,13,No,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.6,436.8,No
5374-VHVEG,Female,0,Yes,Yes,30,No,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Electronic check,88.46,2653.8,No
5796-HZTQW,Male,0,No,No,15,No,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),47.68,715.2,No
2867-GNVDE,Female,0,No,No,36,No,Yes,No,No,Yes,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),74.69,2688.84,No
8464-HZTQW,Female,0,Yes,Yes,55,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,76.34,4198.7,Yes
7641-VHVEG,Female,1,Yes,Yes,0,Yes,No,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.4,95.4,No
2247-QPYBK,Male,1,No,Yes,32,Yes,No phone service,DSL,No internet service,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),111.41,3565.12,No
9903-QPYBK,Male,0,Yes,Yes,57,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),78.48,4473.36,No
9228-GNVDE,Female,0,Yes,Yes,27,No,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Electronic check,23.43,632.61,No
3834-QPYBK,Male,0,Yes,Yes,24,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),55.27,1326.48,No
8996-MOTEO,Female,0,Yes,No,61,No,No phone service,No,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,111.58,6806.38,No
3282-HZTQW,Male,0,Yes,Yes,4,No,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),76.46,305.84,No
8049-MOTEO,Female,1,Yes,Yes,22,No,No,No,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,94.27,2073.94,Yes
3124-MOTEO,Female,0,Yes,Yes,65,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,30.84,2004.6,No
3269-QPYBK,Male,1,Yes,No,65,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,22.79,1481.35,No
7436-HZTQW,Female,0,No,No,30,No,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,One year,Yes,Credit card (automatic),118.85,3565.5,No
6771-GNVDE,Female,0,Yes,No,44,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),40.31,1773.64,No
4252-GNVDE,Female,0,Yes,Yes,12,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,62.65,751.8,No
2951-HZTQW,Female,0,No,No,62,Yes,No,No,No internet service,No,No,No internet service,No,No,Two year,Yes,Mailed check,60.44,3747.28,No
4399-QPYBK,Male,0,No,Yes,7,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),53.21,372.47,No
2516-MOTEO,Female,0,No,Yes,38,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,21.97,834.86,No
5014-HZTQW,Male,1,No,No,50,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),116.71,5835.5,Yes
1991-GNVDE,Female,0,Yes,No,42,No,No phone service,DSL,No internet service,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),59.16,2484.72,No
4424-GNVDE,Male,0,Yes,No,14,Yes,No,No,Yes,Yes,No,No internet service,No,No,Two year,No,Mailed check,103.03,1442.42,No
4574-VHVEG,Female,0,No,Yes,5,Yes,Yes,No,Yes,No,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),95.06,475.3,No
3724-GNVDE,Female,0,No,No,46,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,100.98,4645.08,No
5748-QPYBK,Male,0,No,Yes,46,Yes,No phone service,DSL,Yes,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),63.78,2933.88,Yes
1229-HZTQW,Female,0,Yes,No,65,Yes,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Two year,No,Electronic check,75.85,4930.25,No
8636-QPYBK,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,94.17,3578.46,No
1814-QPYBK,Male,0,No,No,11,No,Yes,No,No internet service,No internet service,Yes,No,No,No internet service,One year,No,Mailed check,78.66,865.26,No
4833-QPYBK,Male,1,No,No,51,No,No phone service,No,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),87.28,4451.28,Yes
9893-VHVEG,Female,0,No,Yes,44,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),57.73,2540.12,Yes
8399-VHVEG,Female,0,Yes,No,22,No,Yes,No,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),67.35,1481.7,No
3353-QPYBK,Male,0,Yes,Yes,46,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.16,1433.36,No
3321-GNVDE,Female,0,No,Yes,34,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),97.15,3303.1,No
1132-QPYBK,Male,0,No,No,15,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,89.85,1347.75,No
5354-VHVEG,Male,0,No,No,7,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Mailed check,112.47,787.29,Yes
8419-QPYBK,Male,0,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No,One year,Yes,Electronic check,67.91,4346.24,Yes
6708-GNVDE,Female,1,No,Yes,50,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,102.0,5100.0,Yes
3468-VHVEG,Male,0,No,No,49,Yes,No phone service,No,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),42.87,2100.63,Yes
8528-HZTQW,Female,0,No,No,63,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),59.92,3774.96,No
1075-MOTEO,Female,1,No,Yes,55,Yes,No,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),32.02,1761.1,Yes
5737-QPYBK,Male,0,Yes,Yes,57,No,No phone service,No,Yes,Yes,Yes,No internet service,No internet service,No,One year,No,Electronic check,84.76,4831.32,No
6167-GNVDE,Female,0,No,Yes,20,No,No phone service,No,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),48.67,973.4,Yes
2118-HZTQW,Male,0,No,Yes,51,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),58.94,3005.94,No
1310-MOTEO,Male,1,No,No,66,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),33.82,2232.12,Yes
1915-MOTEO,Male,0,Yes,No,47,Yes,No phone service,No,Yes,Yes,Yes,No,Yes,No internet service,One year,Yes,Credit card (automatic),101.82,4785.54,No
3972-GNVDE,Male,0,No,Yes,38,Yes,No phone service,No,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,39.51,1501.38,No
7199-GNVDE,Male,0,Yes,Yes,36,No,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,93.47,3364.92,No
3430-GNVDE,Female,0,No,Yes,24,No,No,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),54.94,1318.56,No
1804-HZTQW,Male,0,No,Yes,64,No,No,DSL,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Mailed check,76.93,4923.52,No
1818-HZTQW,Female,0,Yes,Yes,48,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,Yes,One year,Yes,Credit card (automatic),51.28,2461.44,No
5277-QPYBK,Female,0,Yes,No,30,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),54.04,1621.2,No
9098-QPYBK,Male,0,No,Yes,39,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,No,One year,No,Credit card (automatic),109.99,4289.61,No
6104-MOTEO,Female,0,Yes,Yes,15,No,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Mailed check,32.19,482.85,Yes
1123-QPYBK,Female,0,No,Yes,68,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Mailed check,40.03,2722.04,Yes
7495-VHVEG,Female,0,No,No,64,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,One year,No,Electronic check,43.11,2759.04,Yes
3144-GNVDE,Male,0,No,Yes,22,No,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,Two year,No,Electronic check,112.16,2467.52,No
9138-HZTQW,Female,0,No,No,61,No,Yes,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,No,Electronic check,113.77,6939.97,Yes
8874-QPYBK,Male,0,Yes,Yes,17,Yes,No phone service,No,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,34.04,578.68,No
4016-MOTEO,Male,0,No,Yes,34,Yes,Yes,No,No,No,Yes,Yes,No,No internet service,One year,No,Mailed check,24.12,820.08,No
6498-VHVEG,Male,0,Yes,No,7,Yes,No phone service,DSL,No internet service,No,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),63.6,445.2,Yes
6660-MOTEO,Female,1,Yes,No,16,Yes,No phone service,No,No,No,No internet service,Yes,No,No,Two year,No,Credit card (automatic),52.9,846.4,Yes
6129-GNVDE,Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,Two year,No,Mailed check,41.91,1592.58,No
8404-VHVEG,Female,0,Yes,Yes,28,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),64.74,1812.72,No
7265-VHVEG,Female,1,No,Yes,7,No,Yes,DSL,No,Yes,No internet service,No,No internet service,Yes,Two year,No,Bank transfer (automatic),35.09,245.63,No
7488-HZTQW,Male,0,No,Yes,8,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,68.52,548.16,No
4239-VHVEG,Male,0,No,Yes,2,No,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),118.39,236.78,No
8107-QPYBK,Male,0,Yes,Yes,32,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,One year,No,Credit card (automatic),38.32,1226.24,Yes
6106-QPYBK,Female,0,Yes,Yes,30,Yes,No,DSL,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Mailed check,46.69,1400.7,No
2286-QPYBK,Male,0,No,Yes,7,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No,No internet service,One year,No,Electronic check,92.71,648.97,Yes
3045-MOTEO,Male,0,Yes,No,63,No,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Electronic check,105.14,6623.82,No
2495-GNVDE,Male,0,Yes,No,68,No,No,No,Yes,Yes,Yes,No,Yes,No internet service,Two year,No,Mailed check,53.51,3638.68,No
